"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "PostCSS", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\.agents\workflows\accept-student-invite.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 11, 44
"c:\Users\mohit\Desktop\I\unicore_g\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\[...catchAll]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\accept-invite\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 16, 16, 189
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\AcademicPeriodManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 1, 14, 204
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 7, 41
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\CourseManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 3, 16, 247
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 8, 45
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 2, 11, 80
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\DepartmentManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 3, 15, 235
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 7, 37
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\ExamManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 1, 13, 245
