Date : 2026-03-27 22:49:51
Directory : c:\Users\mohit\Desktop\I\unicore_g
Total : 164 files,  130203 codes, 11328 comments, 6626 blanks, all 148157 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\mohit\Desktop\I\unicore_g\components\layout\sidebar-context.tsx                         | TypeScript JSX          |         29 |          1 |          9 |         39 |
| c:\Users\mohit\Desktop\I\unicore_g\components\layout\sidebar.tsx                                 | TypeScript JSX          |        335 |          1 |         15 |        351 |
| c:\Users\mohit\Desktop\I\unicore_g\components\layout\topbar.tsx                                  | TypeScript JSX          |         58 |          4 |          9 |         71 |
| c:\Users\mohit\Desktop\I\unicore_g\components\student\attendance-chart.tsx                       | TypeScript JSX          |         97 |          0 |          7 |        104 |
| c:\Users\mohit\Desktop\I\unicore_g\components\theme-provider.tsx                                 | TypeScript JSX          |          9 |          0 |          3 |         12 |
| c:\Users\mohit\Desktop\I\unicore_g\components\theme-toggle.tsx                                   | TypeScript JSX          |         17 |          0 |          4 |         21 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\badge.tsx                                       | TypeScript JSX          |         35 |          0 |          5 |         40 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\button.tsx                                      | TypeScript JSX          |         51 |          0 |          5 |         56 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\card.tsx                                        | TypeScript JSX          |         71 |          0 |          8 |         79 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\input.tsx                                       | TypeScript JSX          |         21 |          0 |          4 |         25 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\select.tsx                                      | TypeScript JSX          |        146 |          0 |         15 |        161 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\switch.tsx                                      | TypeScript JSX          |         25 |          0 |          5 |         30 |
| c:\Users\mohit\Desktop\I\unicore_g\components\ui\table.tsx                                       | TypeScript JSX          |        107 |          0 |         10 |        117 |
| c:\Users\mohit\Desktop\I\unicore_g\eslint.config.mjs                                             | JavaScript              |         14 |          2 |          3 |         19 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\client.d.ts                                  | TypeScript              |          1 |          0 |          0 |          1 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\client.js                                    | JavaScript              |          1 |          3 |          1 |          5 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\default.d.ts                                 | TypeScript              |          1 |          0 |          0 |          1 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\default.js                                   | JavaScript              |          1 |          3 |          1 |          5 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\edge.d.ts                                    | TypeScript              |          1 |          0 |          0 |          1 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\edge.js                                      | JavaScript              |        395 |         22 |         61 |        478 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index-browser.js                             | JavaScript              |        419 |         22 |         63 |        504 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index.d.ts                                   | TypeScript              |     17,419 |      9,877 |      2,502 |     29,798 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index.js                                     | JavaScript              |        394 |         22 |         62 |        478 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\package.json                                 | JSON                    |        144 |          0 |          0 |        144 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.js                    | JavaScript              |          2 |          0 |          1 |          3 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.wasm                  | WebAssembly Text Format |     87,811 |          0 |      2,015 |     89,826 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.wasm-base64.js        | JavaScript              |          2 |          0 |          1 |          3 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\client.d.ts                          | TypeScript              |      2,133 |        836 |        390 |      3,359 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\client.js                            | JavaScript              |         62 |          9 |         16 |         87 |
| c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\index-browser.d.ts                   | TypeScript              |         52 |         16 |         23 |         91 |
